"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","49","21","7","5","6","0","0","0","0","0","0","0","0","0","0","1","Eddington, David T.","89"
"BME","102","Biomed Eng Freshman Seminar","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","1","0","0","0","0","43","6","2","Shokuhfar, Tolou","52"
"BME","205","Biomed Eng Thermodynamics","2437","Biomedical Eng - Engineering","20","7","1","1","0","0","0","0","0","0","0","0","0","0","0","2","Wang, Zhinan","31"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","26","8","4","0","0","0","0","0","0","0","0","0","0","0","0","1","Avanaki, Kamran","39"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","20","9","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Hetling, John R","30"
"BME","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","13","10","15","3","0","0","0","0","1","0","0","0","0","0","0","3","Royston, Thomas J.","45"
"BME","325","Biotransport","2437","Biomedical Eng - Engineering","15","8","4","0","0","0","0","0","1","0","0","0","0","0","0","1","Peng, Zhangli","29"
"BME","332","Bioinstrumentation I","2437","Biomedical Eng - Engineering","20","6","13","6","6","0","0","0","0","0","1","0","0","0","0","0","Felder, Anthony E","52"
"BME","333","Bioinstrumentation Lab I","2437","Biomedical Eng - Engineering","25","16","7","0","2","0","0","0","0","0","0","0","0","0","0","1","Wang, Zhinan","51"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","12","8","5","3","2","0","0","0","3","0","0","0","0","0","0","1","Wang, Zhinan","34"
"BME","394","Phys Prototyping for Design","2437","Biomedical Eng - Engineering","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Kotche, Miiri Ann","10"
