"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"BME","101","Intro Biomedical Engineering","2437","Biomedical Eng - Engineering","20","8","3","3","2","0","0","0","0","0","0","0","0","0","0","3","Eddington, David T.","39"
"BME","102","Biomed Eng Freshman Seminar","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","59","1","0","Shokuhfar, Tolou","60"
"BME","205","Biomed Eng Thermodynamics","2437","Biomedical Eng - Engineering","40","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Lee, James Chakman","44"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","18","11","10","0","1","0","0","0","1","0","0","0","0","0","0","4","Wu, Ming","45"
"BME","250","Clinical Problems Biomed Eng","2437","Biomedical Eng - Engineering","38","2","1","2","1","0","0","0","0","0","0","0","0","0","0","1","Wang, Zhinan","45"
"BME","310","Biosystems Analysis","2437","Biomedical Eng - Engineering","9","6","5","5","1","0","0","0","0","0","0","0","0","0","0","1","Felder, Anthony E","27"
"BME","325","Biotransport","2437","Biomedical Eng - Engineering","15","19","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Takoudis, Christos G","38"
"BME","332","Bioinstrumentation I","2437","Biomedical Eng - Engineering","13","17","15","2","0","0","0","0","1","0","0","0","0","0","0","2","Papautsky, Ian","50"
"BME","333","Bioinstrumentation Lab I","2437","Biomedical Eng - Engineering","29","12","1","4","0","0","0","0","0","0","0","0","0","0","0","5","Wang, Zhinan","51"
"BME","339","Biostatistics I","2437","Biomedical Eng - Engineering","20","5","4","1","2","0","0","0","0","0","0","0","0","0","0","1","Lin, Meishan","33"
"BME","397","Senior Design II","2437","Biomedical Eng - Engineering","51","10","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Felder, Anthony E","65"
"BME","399","Prof Development Biomed Eng","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","82","0","1","Esmailbeigi, Hananeh","83"
"BME","408","Medical Product Development","2437","Biomedical Eng - Engineering","28","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Layton, Terry N","37"
"BME","410","Medical Device Requirements","2437","Biomedical Eng - Engineering","17","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Browne, Michael Gordon","34"
"BME","423","Biomedical Imaging Laboratory","2437","Biomedical Eng - Engineering","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Klatt, Dieter","14"
"BME","455","Intro to Cell & Tissue Eng","2437","Biomedical Eng - Engineering","7","8","2","1","0","0","0","0","2","0","0","0","0","0","0","0","Alsberg, Eben","20"
"BME","460","Materials in Biomed Eng","2437","Biomedical Eng - Engineering","10","12","4","0","0","0","0","0","0","0","0","0","0","0","0","2","Shin, Jae-Won","28"
"BME","462","Intro Dental Clinical Res&Tech","2437","Biomedical Eng - Engineering","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Mathew Thoppil, Mathew","10"
"BME","475","Neural Engineering I","2437","Biomedical Eng - Engineering","9","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","21"
"BME","476","Neural Eng I Lab","2437","Biomedical Eng - Engineering","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hetling, John R","20"
"BME","494","Collaborative Medtech Design","2437","Biomedical Eng - Engineering","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Browne, Michael Gordon","10"
"BME","494","Imaging Seminar","2437","Biomedical Eng - Engineering","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wang, Zhinan","14"
"BME","494","Princ of Photoacoustic Imaging","2437","Biomedical Eng - Engineering","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Avanaki, Kamran","13"
"BME","538","Numerical Analysis & Bio Syst","2437","Biomedical Eng - Engineering","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Peng, Zhangli","16"
"BME","564","Adv Biomaterials for Implants","2437","Biomedical Eng - Engineering","28","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shokuhfar, Tolou","30"
"BME","582","Computational Genomics","2437","Biomedical Eng - Engineering","12","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Dai, Yang","15"
"BME","595","Seminar Biomedical Engineering","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","Shah, Ramille Nirav","21"
"BME","598","Masters Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","Khetani, Salman","11"
"BME","599","Ph.D. Thesis Research","2437","Biomedical Eng - Engineering","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Yao, Xincheng","10"
"CHE","201","Intro to Thermodynamics","2709","Chemical Engrg","6","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","11"
"CHE","205","Computational Methods in ChE","2709","Chemical Engrg","8","1","5","2","0","0","0","0","2","0","0","0","0","0","0","2","Bilgin, Betul","20"
"CHE","210","Material & Energy Balances","2709","Chemical Engrg","2","11","7","3","0","0","0","0","0","0","0","0","0","0","0","1","Wedgewood, Lewis E","24"
"CHE","230","Molecular Systems in Chem Eng","2709","Chemical Engrg","28","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","Ibagere, Ezinne Chidiebere","31"
"CHE","301","Chem Engr Thermodynamics","2709","Chemical Engrg","5","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Caracotsios, Michael","21"
"CHE","311","Transport Phenomena I","2709","Chemical Engrg","4","4","4","1","1","0","0","0","0","0","0","0","0","0","0","1","Wedgewood, Lewis E","15"
"CHE","312","Transport Phenomena II","2709","Chemical Engrg","6","6","5","4","3","0","0","0","0","0","0","0","0","0","0","1","Torabi, Korosh","25"
"CHE","313","Transport Phenomena III","2709","Chemical Engrg","10","7","4","2","1","0","0","1","0","0","0","0","0","0","0","0","Kim, Sangil","25"
"CHE","321","Chemical Reaction Engr","2709","Chemical Engrg","8","8","4","1","4","0","0","0","0","0","0","0","0","0","0","4","Torabi, Korosh","29"
"CHE","341","Chemical Process Control","2709","Chemical Engrg","43","8","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Caracotsios, Michael","52"
"CHE","382","Chem Engr Lab II","2709","Chemical Engrg","28","19","5","0","0","0","0","0","0","0","0","0","0","0","0","2","Zdunek, Alan","54"
"CHE","397","Senior Design II","2709","Chemical Engrg","43","6","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Bilgin, Betul","52"
"CHE","494","Biopharma Process Dev. & Mfg.","2709","Chemical Engrg","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Singh, Meenesh Rajpal","16"
